id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
48,Indiana,Northern Indiana,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,27.34,42.87,33,10,E,0,0,1029,99,1646413200,-18000
49,Indiana,Northern Indiana,4,Sat 3/5,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,35.26,64.26,67,22,S,0,0,1014,70,1646499600,-18000
50,Indiana,Northern Indiana,5,Sun 3/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,41.68,61.16,53,28,SW,2.27,0,1013,36,1646586000,-18000
51,Iowa,Davenport/Quad Cities,1,Wed 3/2,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,32.83,56.01,62,14,N,0,0,1016,59,1646244000,-21600
52,Iowa,Davenport/Quad Cities,2,Thu 3/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,28.33,38.61,45,11,N,0,0,1030,100,1646330400,-21600
53,Iowa,Davenport/Quad Cities,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,29.61,47.01,51,14,E,0,0,1024,100,1646416800,-21600
54,Iowa,Davenport/Quad Cities,4,Sat 3/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,45.99,67.59,66,24,S,2.48,0,1007,88,1646503200,-21600
55,Iowa,Davenport/Quad Cities,5,Sun 3/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.43,61.45,61,28,S,0.7,0,1017,46,1646589600,-21600
56,Iowa,Des Moines,1,Wed 3/2,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,34.41,61.65,54,15,N,0,0,1016,42,1646244000,-21600
57,Iowa,Des Moines,2,Thu 3/3,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,29.84,40.39,63,12,N,0,0.15,1030,93,1646330400,-21600
58,Iowa,Des Moines,3,Fri 3/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,31.71,57.56,67,17,SE,0.2,0,1018,100,1646416800,-21600
59,Iowa,Des Moines,4,Sat 3/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,53.58,61.92,88,22,S,7.12,0,1003,93,1646503200,-21600
60,Iowa,Des Moines,5,Sun 3/6,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,32.49,44.46,58,24,SW,0,0,1019,36,1646589600,-21600
61,Kansas,Dodge City,1,Wed 3/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,42.31,78.33,10,12,S,0,0,1018,1,1646244000,-21600
62,Kansas,Dodge City,2,Thu 3/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,50.77,75.88,12,18,SE,0,0,1016,0,1646330400,-21600
63,Kansas,Dodge City,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,55.71,77.4,29,26,S,0,0,1006,92,1646416800,-21600
64,Kansas,Dodge City,4,Sat 3/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,43.79,66.6,13,31,W,0,0,999,0,1646503200,-21600
65,Kansas,Dodge City,5,Sun 3/6,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,31.44,43.75,40,17,N,0,2.5,1018,63,1646589600,-21600
66,Kansas,Goodland,1,Wed 3/2,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,35.4,71.56,22,11,NW,0,0,1018,40,1646244000,-25200
67,Kansas,Goodland,2,Thu 3/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,46.56,74.28,12,18,SE,0,0,1015,2,1646330400,-25200
68,Kansas,Goodland,3,Fri 3/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,49.75,74.17,16,16,S,0.17,0,1003,73,1646416800,-25200
69,Kansas,Goodland,4,Sat 3/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,30.06,49.48,81,21,NW,0.23,0,1004,30,1646503200,-25200
70,Kansas,Goodland,5,Sun 3/6,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,24.4,41.27,44,17,N,0,0.67,1020,32,1646589600,-25200
71,Kansas,Topeka,1,Wed 3/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,42.62,81.59,11,15,SW,0,0,1015,2,1646244000,-21600
72,Kansas,Topeka,2,Thu 3/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,41.31,63.19,46,16,NE,0,0,1024,1,1646330400,-21600
73,Kansas,Topeka,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,44.71,68.77,46,26,S,0,0,1014,100,1646416800,-21600
74,Kansas,Topeka,4,Sat 3/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,51.85,78.03,74,29,S,1.15,0,1002,100,1646503200,-21600
75,Kansas,Topeka,5,Sun 3/6,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,33.87,48.33,39,15,W,22.38,0,1019,69,1646589600,-21600
76,Kansas,Wichita,1,Wed 3/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,39.4,77.09,17,12,SW,0,0,1018,1,1646244000,-21600
77,Kansas,Wichita,2,Thu 3/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,49.89,74.93,23,13,SE,0,0,1019,0,1646330400,-21600
78,Kansas,Wichita,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,54.82,69.66,58,23,SE,0,0,1012,100,1646416800,-21600
79,Kansas,Wichita,4,Sat 3/5,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,51.03,76.5,19,26,S,0,0,1002,81,1646503200,-21600
80,Kansas,Wichita,5,Sun 3/6,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,35.65,46.09,44,16,N,8.34,0,1017,79,1646589600,-21600
81,Kentucky,Jackson,1,Wed 3/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,44.98,64.44,57,8,SW,0,0,1019,0,1646240400,-18000
82,Kentucky,Jackson,2,Thu 3/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,38.57,52.41,86,9,SW,0,0,1023,98,1646326800,-18000
83,Kentucky,Jackson,3,Fri 3/4,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,32.86,59.47,52,6,NE,0,0,1027,39,1646413200,-18000
84,Kentucky,Jackson,4,Sat 3/5,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,50.11,69.64,46,13,S,0,0,1023,40,1646499600,-18000
85,Kentucky,Jackson,5,Sun 3/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,62.04,72.91,51,15,S,0.4,0,1019,89,1646586000,-18000
86,Kentucky,Louisville,1,Wed 3/2,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,40.62,66.56,53,9,S,0,0,1019,11,1646240400,-18000
87,Kentucky,Louisville,2,Thu 3/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,39.18,55.38,66,11,SW,0,0,1025,65,1646326800,-18000
88,Kentucky,Louisville,3,Fri 3/4,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,33.37,56.28,54,7,NE,0,0,1027,82,1646413200,-18000
89,Kentucky,Louisville,4,Sat 3/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,49.57,68.97,54,17,S,0,0,1020,9,1646499600,-18000
90,Kentucky,Louisville,5,Sun 3/6,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,60.26,65.44,85,18,S,25.94,0,1018,96,1646586000,-18000
91,Kentucky,Paducah,1,Wed 3/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,40.23,69.1,50,12,S,0,0,1020,0,1646244000,-21600
92,Kentucky,Paducah,2,Thu 3/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,43.83,58.33,65,11,N,0,0,1024,2,1646330400,-21600
93,Kentucky,Paducah,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,39.85,64.83,65,9,SE,0,0,1025,85,1646416800,-21600
94,Kentucky,Paducah,4,Sat 3/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,52.92,69.46,66,20,S,0.31,0,1018,2,1646503200,-21600
95,Kentucky,Paducah,5,Sun 3/6,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,62.89,65.5,93,20,S,21.09,0,1018,98,1646589600,-21600
96,Michigan,Detroit/Pontiac,1,Wed 3/2,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,22.75,41.79,50,15,NW,1.01,0.17,1018,76,1646240400,-18000
97,Michigan,Detroit/Pontiac,2,Thu 3/3,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,18.63,26.76,40,14,NW,0,0,1030,74,1646326800,-18000
98,Michigan,Detroit/Pontiac,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,23.22,37.81,30,7,S,0,0,1030,99,1646413200,-18000
99,Michigan,Detroit/Pontiac,4,Sat 3/5,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,31.12,48.43,60,13,SE,0,0,1018,99,1646499600,-18000
100,Michigan,Detroit/Pontiac,5,Sun 3/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.48,60.17,59,26,SW,3.74,0,1008,52,1646586000,-18000
101,Michigan,Gaylord,1,Wed 3/2,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,5.61,30.09,98,16,NW,0,3.5,1015,100,1646240400,-18000
102,Michigan,Gaylord,2,Thu 3/3,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,-3.28,18.36,77,11,W,0,0.1,1031,45,1646326800,-18000
103,Michigan,Gaylord,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,5.9,26.78,74,11,SW,0,0,1030,100,1646413200,-18000
104,Michigan,Gaylord,4,Sat 3/5,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,23.02,34.56,93,17,E,4.17,8.65,1016,100,1646499600,-18000
105,Michigan,Gaylord,5,Sun 3/6,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,26.13,43.16,94,21,SW,12.94,0.46,1004,100,1646586000,-18000
106,Michigan,Grand Rapids,1,Wed 3/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,23.49,41.02,56,13,SW,0,1.2,1017,76,1646240400,-18000
107,Michigan,Grand Rapids,2,Thu 3/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,20.17,30.51,46,11,N,0,0,1031,96,1646326800,-18000
108,Michigan,Grand Rapids,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,23.72,39.34,30,7,E,0,0,1030,90,1646413200,-18000
109,Michigan,Grand Rapids,4,Sat 3/5,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,32.49,56.12,71,18,S,0,0,1013,81,1646499600,-18000
110,Michigan,Grand Rapids,5,Sun 3/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,33.96,59.04,72,30,SW,2.83,0,1011,87,1646586000,-18000
111,Michigan,Marquette,1,Wed 3/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,1.98,23.99,89,12,NW,0,1.01,1018,100,1646244000,-18000
112,Michigan,Marquette,2,Thu 3/3,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,-5.85,18,76,9,NW,0,0,1032,42,1646330400,-18000
113,Michigan,Marquette,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,4.91,26.83,74,8,W,0,0,1029,100,1646416800,-18000
114,Michigan,Marquette,4,Sat 3/5,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,19.85,27.88,97,10,E,0,29.14,1016,100,1646503200,-18000
115,Michigan,Marquette,5,Sun 3/6,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,12.33,30.88,91,15,NW,0,9.74,1007,99,1646589600,-18000
116,Minnesota,Duluth,1,Wed 3/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,2.32,23.41,74,12,NW,0,0.12,1023,100,1646244000,-21600
117,Minnesota,Duluth,2,Thu 3/3,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,-7.15,19.87,66,6,W,0,0,1034,16,1646330400,-21600
118,Minnesota,Duluth,3,Fri 3/4,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,5.23,22.17,77,12,NE,0,1.74,1028,100,1646416800,-21600
119,Minnesota,Duluth,4,Sat 3/5,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,20.86,25.84,95,18,NE,0,12.04,1012,100,1646503200,-21600
120,Minnesota,Duluth,5,Sun 3/6,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,13.39,29.73,88,15,NE,0,11.83,1015,94,1646589600,-21600
121,Minnesota,Chanhassen/Twin Cities,1,Wed 3/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,17.69,28.98,92,12,NW,0,1,1022,100,1646244000,-21600
122,Minnesota,Chanhassen/Twin Cities,2,Thu 3/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,10.4,21.72,73,7,N,0,0,1035,100,1646330400,-21600
123,Minnesota,Chanhassen/Twin Cities,3,Fri 3/4,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,20.17,32.97,82,14,E,0,0.41,1022,100,1646416800,-21600
124,Minnesota,Chanhassen/Twin Cities,4,Sat 3/5,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,31.87,36.73,100,11,E,25.63,1.02,1006,100,1646503200,-21600
125,Minnesota,Chanhassen/Twin Cities,5,Sun 3/6,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,25.43,33.66,82,18,NW,0.11,1.48,1018,99,1646589600,-21600
126,Missouri,Kansas City/Pleasant Hill,1,Wed 3/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,48.49,79.21,18,16,SW,0,0,1016,2,1646244000,-21600
127,Missouri,Kansas City/Pleasant Hill,2,Thu 3/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,40.37,61.3,47,15,NE,0,0,1024,4,1646330400,-21600
128,Missouri,Kansas City/Pleasant Hill,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,43.32,69.69,41,20,S,0,0,1016,100,1646416800,-21600
129,Missouri,Kansas City/Pleasant Hill,4,Sat 3/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,59.09,67.32,69,27,S,0.77,0,1006,99,1646503200,-21600
130,Missouri,Kansas City/Pleasant Hill,5,Sun 3/6,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,37.45,53.92,37,19,W,19.71,0,1019,76,1646589600,-21600
131,Missouri,Springfield,1,Wed 3/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,45.68,69.82,36,14,SW,0,0,1019,3,1646244000,-21600
132,Missouri,Springfield,2,Thu 3/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,46.47,67.17,43,14,SE,0,0,1022,0,1646330400,-21600
133,Missouri,Springfield,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,46.54,65.53,56,16,SE,0,0,1020,98,1646416800,-21600
134,Missouri,Springfield,4,Sat 3/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,52.95,65.23,68,23,S,0.13,0,1010,31,1646503200,-21600
135,Missouri,Springfield,5,Sun 3/6,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,49.42,61.45,61,17,S,18.64,0,1017,96,1646589600,-21600
136,Missouri,St. Louis,1,Wed 3/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,43.52,73.99,35,13,SW,0,0,1017,9,1646244000,-21600
137,Missouri,St. Louis,2,Thu 3/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,40.17,53.8,54,12,N,0,0,1027,6,1646330400,-21600
138,Missouri,St. Louis,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,38.41,62.91,58,12,SE,0,0,1023,100,1646416800,-21600
139,Missouri,St. Louis,4,Sat 3/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,54.9,72.14,50,20,S,0.31,0,1011,77,1646503200,-21600
140,Missouri,St. Louis,5,Sun 3/6,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,48.33,66.47,40,20,S,11.72,0,1018,19,1646589600,-21600
141,Nebraska,Hastings,1,Wed 3/2,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,40.15,74.41,24,13,NE,0,0,1016,14,1646244000,-21600
142,Nebraska,Hastings,2,Thu 3/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.23,56.91,48,15,NE,0,0,1024,4,1646330400,-21600
143,Nebraska,Hastings,3,Fri 3/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,42.39,77.31,38,23,S,0,0,1005,99,1646416800,-21600
144,Nebraska,Hastings,4,Sat 3/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,33.53,68.36,27,23,NW,2.38,0,994,50,1646503200,-21600
145,Nebraska,Hastings,5,Sun 3/6,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,27.43,42.58,46,18,W,0,0,1022,21,1646589600,-21600
146,Nebraska,North Platte,1,Wed 3/2,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,30.06,72.5,27,12,E,0,0,1017,23,1646244000,-21600
147,Nebraska,North Platte,2,Thu 3/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.12,60.57,47,16,E,0,0,1020,6,1646330400,-21600
148,Nebraska,North Platte,3,Fri 3/4,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,40.78,72.77,23,16,E,0,0,1003,80,1646416800,-21600
149,Nebraska,North Platte,4,Sat 3/5,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,29.01,48.7,85,21,N,0,3.47,1003,100,1646503200,-21600
150,Nebraska,North Platte,5,Sun 3/6,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,21.42,31.32,67,16,NW,0,0.28,1024,51,1646589600,-21600
151,Nebraska,Omaha/Valley,1,Wed 3/2,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,35.29,73.44,29,16,NE,0,0,1016,23,1646244000,-21600
152,Nebraska,Omaha/Valley,2,Thu 3/3,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,31.69,51.46,49,14,E,0,0,1027,15,1646330400,-21600
